,genre_ids,id,original_language,overview,popularity,release_date,title,vote_average,vote_count
0,"[878, 28, 12]",580489,en,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",7534.804,2021-09-30,Venom: Let There Be Carnage,7.2,4337
1,"[28, 35, 80, 53]",512195,en,"An Interpol-issued Red Notice is a global alert to hunt and capture the world's most wanted. But when a daring heist brings together the FBI's top profiler and two rival criminals, there's no telling what will happen.",4173.995,2021-11-04,Red Notice,6.8,1931
2,"[28, 18, 36]",617653,en,"King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire, Jacques Le Gris, by challenging him to a duel.",2824.034,2021-10-13,The Last Duel,7.6,841
3,"[16, 35, 10751]",585245,en,"As Emily struggles to fit in at home and at school, she discovers a small red puppy who is destined to become her best friend. When Clifford magically undergoes one heck of a growth spurt, becomes a gigantic dog and attracts the attention of a genetics company, Emily and her Uncle Casey have to fight the forces of greed as they go on the run across New York City. Along the way, Clifford affects the lives of everyone around him and teaches Emily and her uncle the true meaning of acceptance and unconditional love.",2960.577,2021-11-10,Clifford the Big Red Dog,7.5,509
4,"[12, 16, 35, 10751, 14, 10402]",568124,en,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family with a unique gift from super strength to the power to heal—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",2782.527,2021-11-24,Encanto,7.4,295
5,"[28, 12, 14]",566525,en,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,2712.063,2021-09-01,Shang-Chi and the Legend of the Ten Rings,7.8,4158
6,"[16, 878, 10751, 35]",482321,en,"In a world where walking, talking, digitally connected bots have become children's best friends, an 11-year-old finds that his robot buddy doesn't quite work the same as the others do.",2508.588,2021-10-15,Ron's Gone Wrong,8.5,309
7,"[28, 12, 878]",634649,en,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",2376.947,2021-12-15,Spider-Man: No Way Home,0.0,0
8,"[12, 28, 53]",370172,en,"Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",1742.817,2021-09-29,No Time to Die,7.6,2488
9,"[28, 12, 14, 878]",524434,en,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.",1392.582,2021-11-03,Eternals,7.1,1398
